iter	Passed	Remaining
0	1	107
1	1	97
2	2	90
3	3	87
4	4	87
5	5	87
6	6	86
7	7	85
8	8	84
9	9	83
10	10	82
11	11	81
12	12	80
13	12	79
14	13	79
15	14	77
16	15	76
17	16	76
18	17	75
19	18	74
20	19	73
21	20	73
22	21	72
23	22	71
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	45	50
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	61	35
63	62	35
64	63	34
65	64	33
66	65	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	77	23
77	78	22
78	80	21
79	81	20
80	82	19
81	83	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	103	1
99	104	0
